180,12	19566,667
180,49	19566,667
180,87	19566,667
181,25	-442,500
181,63	-2461,905
182,01	-727,397
182,38	-2310,000
182,76	-675,581
183,14	-316,923
183,52	-11200,000
183,89	1192,683
184,27	-258,400
184,65	47500,000
185,03	-2518,182
185,40	-785,075
185,78	-369,421
186,16	-5377,778
186,54	-1305,556
186,91	3258,824
187,29	-1090,698
187,67	-711,864
188,05	534,694
188,42	-340,741
188,80	-1100,000
189,18	-127,660
189,56	-133,121
189,93	-274,242
190,31	-292,398
190,69	-228,571
191,06	-427,132
191,44	-198,905
191,82	-140,323
192,20	-176,210
192,57	-183,691
192,95	-223,333
193,33	-377,852
193,70	-239,271
194,08	-393,631
194,46	-208,383
194,83	-156,598
195,21	-360,417
195,59	-161,224
195,96	-191,453
196,34	-134,545
196,72	-221,795
197,09	-160,669
197,47	-152,817
197,85	-120,202
198,22	-155,090
198,60	-275,824
198,98	-287,578
199,35	-159,316
199,73	-255,056
200,11	-169,076
200,48	-156,569
200,86	-142,353
201,24	-145,139
201,61	-203,139
201,99	-152,399
202,37	-323,899
202,74	-219,772
203,12	-173,047
203,49	-161,511
203,87	-143,094
204,25	-179,654
204,62	-321,622
205,00	-170,039
205,37	-156,081
205,75	-151,957
206,13	-176,119
206,50	-118,485
206,88	-341,722
207,25	-123,662
207,63	-120,988
208,01	-283,058
208,38	-157,785
208,76	-91,105
209,13	-99,524
209,51	-157,951
209,88	-191,638
210,26	-181,685
210,64	-173,913
211,01	-117,919
211,39	-129,684
211,76	-130,997
212,14	-140,751
212,51	-141,209
212,89	-146,132
213,26	-97,902
213,64	-107,767
214,02	-106,652
214,39	-136,010
214,77	-72,459
215,14	-60,976
215,52	-78,066
215,89	-44,218
216,27	-37,859
216,64	-34,768
217,02	-49,162
217,39	-37,057
217,77	-36,775
218,14	-24,217
218,52	-28,300
218,89	-22,720
219,27	-20,604
219,64	-22,476
220,02	-22,175
220,39	-24,819
220,77	-21,310
221,14	-9,974
221,52	-21,185
221,89	-14,159
222,27	-13,241
222,64	-15,594
223,02	-16,967
223,39	-12,039
223,77	-10,644
224,14	-6,552
224,51	-9,492
224,89	-8,489
225,26	-8,805
225,64	-9,585
226,01	-9,065
226,39	-8,182
226,76	-9,334
227,14	-8,180
227,51	-6,540
227,88	-5,449
228,26	-5,672
228,63	-6,164
229,01	-4,895
229,38	-6,627
229,75	-4,387
230,13	-5,640
230,50	-4,796
230,88	-5,219
231,25	-3,663
231,63	-3,008
232,00	-3,419
232,37	-3,728
232,75	-3,009
233,12	-3,217
233,49	-3,740
233,87	-3,612
234,24	-3,798
234,62	-2,107
234,99	-2,886
235,36	-1,659
235,74	-2,899
236,11	-3,280
236,48	-2,078
236,86	-1,160
237,23	-2,340
237,60	-1,910
237,98	-2,245
238,35	-2,173
238,73	-1,816
239,10	-1,558
239,47	-2,124
239,85	-1,020
240,22	-2,272
240,59	-1,728
240,96	-1,463
241,34	-0,846
241,71	-1,408
242,08	-0,969
242,46	-1,942
242,83	-1,029
243,20	-0,672
243,58	-1,355
243,95	-0,780
244,32	-0,428
244,70	-0,958
245,07	-0,659
245,44	-0,250
245,81	-0,448
246,19	-0,495
246,56	-0,934
246,93	-1,184
247,31	-0,714
247,68	-0,812
248,05	-0,689
248,42	-0,676
248,80	-0,645
249,17	-0,332
249,54	-1,315
249,91	-0,742
250,29	-0,518
250,66	-0,612
251,03	-0,632
251,40	-0,507
251,78	-0,225
252,15	-0,609
252,52	-0,096
252,89	-0,510
253,26	-0,162
253,64	-0,440
254,01	-0,469
254,38	-0,331
254,75	-0,220
255,12	0,045
255,50	-0,161
255,87	-0,396
256,24	0,149
256,61	0,154
256,98	-0,215
257,36	0,303
257,73	-0,508
258,10	-0,004
258,47	-0,021
258,84	-0,223
259,22	0,054
259,59	-0,140
259,96	-0,023
260,33	0,552
260,70	-0,000
261,07	0,080
261,45	-0,166
261,82	0,243
262,19	-0,133
262,56	0,107
262,93	0,033
263,30	0,427
263,67	-0,148
264,04	-0,099
264,42	0,165
264,79	0,206
265,16	0,173
265,53	-0,015
265,90	0,018
266,27	-0,018
266,64	0,000
267,01	0,185
267,39	0,268
267,76	0,226
268,13	0,077
268,50	-0,160
268,87	-0,242
269,24	0,079
269,61	0,290
269,98	-0,119
270,35	0,067
270,72	0,116
271,09	0,260
271,46	0,048
271,84	0,127
272,21	0,275
272,58	-0,158
272,95	-0,252
273,32	0,186
273,69	0,294
274,06	-0,247
274,43	-0,259
274,80	0,348
275,17	0,337
275,54	0,009
275,91	0,101
276,28	0,108
276,65	-0,130
277,02	-0,154
277,39	0,248
277,76	-0,186
278,13	0,383
278,50	-0,094
278,87	-0,099
279,24	-0,166
279,61	-0,396
279,98	0,406
280,35	-0,053
280,72	-0,123
281,09	0,194
281,46	-0,186
281,83	0,116
282,20	-0,124
282,57	-0,207
282,94	-0,131
283,31	-0,062
283,68	-0,232
284,05	-0,172
284,42	0,025
284,79	-0,436
285,16	0,053
285,53	0,112
285,90	0,074
286,27	0,300
286,64	0,154
287,00	0,702
287,37	0,494
287,74	-0,020
288,11	-0,023
288,48	0,227
288,85	0,003
289,22	-0,014
289,59	0,185
289,96	-0,066
290,33	-0,074
290,70	0,033
291,07	-0,016
291,43	0,287
291,80	0,133
292,17	-0,280
