180,12	-423,077
180,49	-423,077
180,87	-423,077
181,25	138,947
181,63	186,567
182,01	-391,837
182,38	116,327
182,76	-1083,333
183,14	135,714
183,52	201,471
183,89	88,889
184,27	165,979
184,65	-135,294
185,03	109,524
185,40	-45,238
185,78	126,984
186,16	0,000
186,54	38,636
186,91	220,000
187,29	177,000
187,67	118,023
188,05	-260,000
188,42	-27587343618640400,000
188,80	125,455
189,18	-46,341
189,56	-44,693
189,93	-397,727
190,31	-54,667
190,69	-52,532
191,06	-70,229
191,44	7,389
191,82	-64,677
192,20	-6,996
192,57	-23,858
192,95	-90,780
193,33	-145,926
193,70	-41,176
194,08	-12,121
194,46	-24,664
194,83	-20,779
195,21	9,549
195,59	-30,769
195,96	-20,652
196,34	12,917
196,72	-114,706
197,09	21,555
197,47	-33,511
197,85	-41,341
198,22	-100,633
198,60	-56,897
198,98	-35,366
199,35	-51,724
199,73	-89,076
200,11	-13,889
200,48	-128,829
200,86	-74,286
201,24	-11,500
201,61	-43,860
201,99	-63,682
202,37	-14,151
202,74	-48,718
203,12	5,628
203,49	-48,739
203,87	-30,337
204,25	-17,054
204,62	-82,787
205,00	-181,176
205,37	-3,478
205,75	-25,862
206,13	-45,506
206,50	-48,214
206,88	-98,990
207,25	-109,420
207,63	-100,000
208,01	-68,132
208,38	-34,392
208,76	-164,368
209,13	-97,260
209,51	-129,771
209,88	-39,444
210,26	-17,842
210,64	-1,356
211,01	-30,526
211,39	-52,564
211,76	-41,525
212,14	4,746
212,51	-19,048
212,89	-68,966
213,26	-7,955
213,64	-47,436
214,02	-79,200
214,39	-12,139
214,77	16,066
215,14	-24,924
215,52	-35,176
215,89	-46,584
216,27	2,033
216,64	-19,164
217,02	12,097
217,39	-26,182
217,77	17,317
218,14	-18,298
218,52	-51,724
218,89	-13,622
219,27	-12,240
219,64	-31,013
220,02	-0,309
220,39	-49,286
220,77	-6,287
221,14	-5,183
221,52	-22,539
221,89	-24,870
222,27	-19,340
222,64	-15,212
223,02	-36,243
223,39	-51,462
223,77	6,303
224,14	-21,528
224,51	-16,274
224,89	-15,385
225,26	-18,582
225,64	-5,669
226,01	-15,278
226,39	-13,629
226,76	11,603
227,14	4,836
227,51	-17,724
227,88	-23,178
228,26	1,923
228,63	7,167
229,01	-8,124
229,38	1,699
229,75	-9,572
230,13	8,834
230,50	14,668
230,88	-11,765
231,25	-3,546
231,63	6,355
232,00	2,453
232,37	2,596
232,75	-2,978
233,12	-5,888
233,49	-1,361
233,87	-3,100
234,24	8,251
234,62	-7,244
234,99	9,224
235,36	4,814
235,74	9,159
236,11	3,287
236,48	-2,416
236,86	-0,969
237,23	1,733
237,60	9,626
237,98	4,949
238,35	-1,273
238,73	4,311
239,10	0,525
239,47	-0,311
239,85	2,129
240,22	1,542
240,59	14,233
240,96	5,859
241,34	5,706
241,71	3,030
242,08	6,863
242,46	1,689
242,83	0,991
243,20	2,551
243,58	7,195
243,95	3,428
244,32	5,963
244,70	4,918
245,07	5,521
245,44	9,650
245,81	-3,434
246,19	2,459
246,56	3,862
246,93	5,889
247,31	9,526
247,68	0,505
248,05	3,598
248,42	0,541
248,80	6,232
249,17	9,741
249,54	3,345
249,91	3,457
250,29	2,028
250,66	6,718
251,03	2,302
251,40	11,242
251,78	3,121
252,15	0,367
252,52	2,440
252,89	1,764
253,26	4,186
253,64	1,932
254,01	2,933
254,38	3,483
254,75	6,235
255,12	5,486
255,50	4,050
255,87	4,114
256,24	4,635
