180,12	-653,846
180,49	-653,846
180,87	-653,846
181,25	135,789
181,63	171,642
182,01	-51,020
182,38	81,633
182,76	-1258,333
183,14	335,714
183,52	285,294
183,89	65,657
184,27	126,804
184,65	-148,529
185,03	288,095
185,40	40,476
185,78	203,175
186,16	-18,705
186,54	-22,159
186,91	31,429
187,29	56,000
187,67	90,116
188,05	-493,333
188,42	-29646100605106300,000
188,80	392,727
189,18	-80,488
189,56	-47,486
189,93	-100,000
190,31	6,000
190,69	-48,734
191,06	-121,374
191,44	-17,734
191,82	-48,756
192,20	-9,465
192,57	-2,030
192,95	-53,901
193,33	-88,889
193,70	-74,510
194,08	-86,364
194,46	-43,049
194,83	-12,987
195,21	13,263
195,59	-1,538
195,96	-11,957
196,34	-5,833
196,72	-21,569
197,09	21,908
197,47	-46,809
197,85	-31,844
198,22	-20,886
198,60	-12,931
198,98	-60,366
199,35	-87,931
199,73	-93,277
200,11	22,917
200,48	-123,423
200,86	-69,143
201,24	-58,000
201,61	-57,310
201,99	-3,483
202,37	-58,491
202,74	-44,872
203,12	-13,420
203,49	-84,874
203,87	-42,135
204,25	34,109
204,62	-81,967
205,00	-112,941
205,37	-26,087
205,75	-20,115
206,13	-33,146
206,50	-58,036
206,88	-228,283
207,25	-118,841
207,63	-45,000
208,01	-4,945
208,38	-34,921
208,76	-173,563
209,13	-258,904
209,51	-166,412
209,88	-30,556
210,26	-26,556
210,64	-9,492
211,01	-13,684
211,39	-42,308
211,76	-44,068
212,14	7,458
212,51	10,544
212,89	-126,724
213,26	24,432
213,64	-16,239
214,02	-71,200
214,39	-30,058
214,77	-1,311
215,14	-38,906
215,52	-54,271
215,89	-47,826
216,27	-54,878
216,64	4,181
217,02	-23,656
217,39	-6,545
217,77	16,341
218,14	-10,213
218,52	-36,897
218,89	-25,697
219,27	-6,250
219,64	-41,772
220,02	-18,827
220,39	-28,214
220,77	0,898
221,14	12,500
221,52	-7,772
221,89	-16,062
222,27	-4,009
222,64	-11,721
223,02	-58,466
223,39	-47,953
223,77	-14,706
224,14	-28,009
224,51	-13,062
224,89	6,346
225,26	-13,793
225,64	1,587
226,01	-18,254
226,39	0,341
226,76	-0,611
227,14	-7,800
227,51	-20,000
